participant_id	group	run	n_volumes	defined_fd_frames	mean_fd_mm	proportion_fd_gt_0_5	mean_std_dvars_diagnostic	mask_voxels	C0_columns	C0_rank	C0_gain_demean_estimable	C0_gain_demean_projection_error	C0_loss_demean_estimable	C0_loss_demean_projection_error	C1_columns	C1_rank	C1_gain_demean_estimable	C1_gain_demean_projection_error	C1_loss_demean_estimable	C1_loss_demean_projection_error	C2_columns	C2_rank	C2_gain_demean_estimable	C2_gain_demean_projection_error	C2_loss_demean_estimable	C2_loss_demean_projection_error
sub-056	equalRange	4	453	452	0.09268944714159287	0.0	1.101875150442478	236676	17	17	True	6.253834380713605e-16	True	9.011247631072697e-16	35	35	True	6.244945217742837e-16	True	6.221919289621833e-16	41	41	True	6.581163375481059e-16	True	6.347469751241868e-16
sub-057	equalIndifference	1	453	452	0.14643684815265484	0.0	1.0152806305309736	266262	17	17	True	3.3134017960671896e-16	True	3.6609837100389987e-16	35	35	True	2.606324191086684e-16	True	1.1551067365369915e-15	41	41	True	5.527722510582373e-16	True	8.067155658742878e-16
sub-057	equalIndifference	2	453	452	0.10337556858407075	0.0	1.0078507986725662	266686	17	17	True	3.36341661384257e-16	True	7.805046056896199e-16	35	35	True	4.401213894246833e-16	True	1.5893769214100297e-15	41	41	True	6.265591916364117e-16	True	8.605495073282968e-16
sub-057	equalIndifference	3	453	452	0.09416016823761061	0.0	1.0131415044247787	258003	18	18	True	1.3371601306569588e-15	True	1.1282705380748788e-15	36	36	True	1.180957190139397e-15	True	1.187705668015257e-15	42	42	True	6.108449166591206e-16	True	7.877590162375169e-16
sub-057	equalIndifference	4	453	452	0.1459135665245702	0.046460176991150445	1.0504842544247788	257798	18	18	True	1.7657584981324952e-16	True	1.8915537259176656e-16	36	36	True	4.542419197823202e-16	True	7.336376551505795e-16	42	42	True	4.720009140192215e-16	True	3.630954804494917e-16
sub-058	equalRange	1	453	452	0.07783449117807596	0.0	1.0144030774336283	248858	17	17	True	3.4468153707995877e-16	True	3.392042825649997e-16	35	35	True	4.3438298321316233e-16	True	6.005921654754462e-16	41	41	True	9.426633104549895e-16	True	9.711088974870993e-16
sub-058	equalRange	2	453	452	0.1137273597108559	0.0022123893805309734	1.004158703539823	256986	17	17	True	7.953866305160105e-16	True	6.12400139621225e-16	35	35	True	3.872301844891562e-16	True	4.3413274319620314e-16	41	41	True	6.706610876539071e-16	True	9.520509032285752e-16
sub-058	equalRange	3	453	452	0.0915253833814159	0.0	1.0072947345132743	248740	17	17	True	4.723509273092245e-16	True	1.339031960599533e-15	35	35	True	2.070239086223741e-15	True	1.0643032370208182e-15	41	41	True	3.83963368578145e-16	True	4.053041521400022e-16
sub-058	equalRange	4	453	452	0.03966941383650643	0.0	1.0185255951327432	260072	17	17	True	9.982712772461372e-16	True	1.0088415069351052e-15	35	35	True	1.426279296015986e-15	True	6.84784156288669e-16	41	41	True	1.0325974916032006e-15	True	1.0243684144998732e-15
sub-059	equalIndifference	1	453	452	0.0684268334314159	0.0	1.019921825221239	254389	17	17	True	7.372876169617395e-16	True	7.69362522024751e-16	35	35	True	6.887883854086e-16	True	5.181302333867308e-16	41	41	True	9.273032920565066e-16	True	8.56152992848246e-16
sub-059	equalIndifference	2	453	452	0.07486799777610616	0.0	1.0232645752212388	263147	17	17	True	8.989113337824459e-16	True	4.596618373925699e-16	35	35	True	9.971604245464947e-16	True	3.571986013598637e-16	41	41	True	1.4600085098047056e-15	True	2.0253384329084396e-15
sub-059	equalIndifference	3	453	452	0.09138550106194687	0.0	1.0166709800884957	253811	17	17	True	2.7221778497546344e-16	True	4.1704945048560605e-16	35	35	True	4.234109491807934e-16	True	5.876186552061787e-16	41	41	True	1.5114168386442737e-15	True	1.1506896090623298e-15
sub-059	equalIndifference	4	453	452	0.08962584219428668	0.0	1.002022396017699	263503	17	17	True	2.816355986854523e-16	True	3.196000910728605e-16	35	35	True	4.1772456645375106e-16	True	1.6228767979565484e-15	41	41	True	8.663082837288387e-16	True	6.427663665027325e-16
sub-060	equalRange	1	453	452	0.07889700200646943	0.0	1.025391296460177	242698	17	17	True	4.537679574593518e-16	True	5.0083308210488475e-16	35	35	True	8.23548653993297e-16	True	2.305157141415481e-15	41	41	True	1.1645957549750722e-15	True	1.9963031093034283e-15
sub-060	equalRange	2	453	452	0.09638527010654646	0.0	1.0139630376106195	243901	18	18	True	8.201600164470103e-16	True	7.693693608341808e-16	36	36	True	1.249228475633188e-15	True	7.078925445006449e-16	42	42	True	1.740830275047909e-15	True	9.815737124624114e-16
sub-060	equalRange	3	453	452	0.13692494972873398	0.011061946902654867	1.0207136084070796	243505	18	18	True	3.570681085786984e-16	True	5.591022434246331e-16	36	36	True	1.2810789584320964e-15	True	1.344354670415549e-15	42	42	True	5.060370083122432e-16	True	1.3691307408541554e-15
sub-060	equalRange	4	453	452	0.0935330773408743	0.0	1.0330384225663718	243242	18	18	True	2.7191932939711607e-16	True	9.274092206993192e-16	36	36	True	7.972643271244987e-16	True	1.2274488757146546e-15	42	42	True	7.38354030868323e-16	True	6.998617667071969e-16
sub-061	equalIndifference	1	453	452	0.05243432333256414	0.0	1.0170117920353983	250970	17	17	True	6.981937855778665e-16	True	9.151692221794187e-16	35	35	True	7.079311804531097e-16	True	5.274046364818526e-16	41	41	True	9.701408210761797e-16	True	6.887967100010627e-16
sub-061	equalIndifference	2	453	452	0.07029132145668403	0.0	1.013615528761062	250905	17	17	True	8.702524828044512e-16	True	1.152427664700304e-15	35	35	True	8.138727587737925e-16	True	8.6681707324500555e-16	41	41	True	1.0339319670345603e-15	True	5.498662001894359e-16
sub-061	equalIndifference	3	453	452	0.0744126221212389	0.0	1.0205453362831858	251795	17	17	True	2.6854101711699845e-16	True	6.973185393818355e-16	35	35	True	1.928491677709299e-15	True	1.8693414135484694e-15	41	41	True	1.7363344633069837e-15	True	1.2355517431879926e-15
sub-061	equalIndifference	4	453	452	0.09751192044100025	0.0	0.9990691061946904	252359	17	17	True	1.584246680001666e-15	True	2.0966982127809333e-16	35	35	True	7.642021840144584e-16	True	1.5033484801486211e-15	41	41	True	1.3214363271542656e-15	True	1.6607600659353786e-15
sub-062	equalRange	1	453	452	0.05028863049784187	0.0	1.0198869690265489	245803	17	17	True	1.9499742471162815e-15	True	8.417573767855398e-16	35	35	True	4.871396818311685e-16	True	4.835667115923288e-16	41	41	True	7.713064214370018e-16	True	5.425932768002751e-16
sub-062	equalRange	2	453	452	0.06449416553303552	0.0	1.0237546548672567	245505	17	17	True	6.791727762622201e-16	True	8.263774287577475e-16	35	35	True	4.962717224057526e-16	True	6.495094885947158e-16	41	41	True	1.464718388440169e-15	True	1.167612927964516e-15
sub-062	equalRange	3	453	452	0.052760856589483346	0.0	1.0213493827433628	245601	17	17	True	9.806246979694946e-16	True	5.92046248082894e-16	35	35	True	7.195946463207181e-16	True	6.294214731942399e-16	41	41	True	1.156318450350833e-15	True	5.782947323108329e-16
sub-062	equalRange	4	453	452	0.08201314467610617	0.0	1.0312229778761062	245874	17	17	True	4.4142256322679803e-16	True	8.350746478807753e-16	35	35	True	2.842822949580309e-16	True	9.741855344622426e-16	41	41	True	1.2716273914553066e-15	True	5.331598157373006e-16
sub-063	equalIndifference	1	453	452	0.057234426604681574	0.0	1.0587036946902655	249637	17	17	True	8.327699917096096e-16	True	1.850400305107807e-15	35	35	True	4.765809239990629e-16	True	4.189160432503044e-16	41	41	True	6.18653538018032e-16	True	1.1806777049864431e-15
sub-063	equalIndifference	2	453	452	0.05012946971603599	0.0	1.0630601415929204	248266	17	17	True	7.911153811167426e-16	True	6.196959318107912e-16	35	35	True	9.477200337199008e-16	True	8.410166178987626e-16	41	41	True	1.0360934463039715e-15	True	1.489586297295007e-15
sub-063	equalIndifference	3	453	452	0.04713227893126546	0.0	1.0614901039823008	247845	17	17	True	7.647900939166791e-16	True	1.1000244177515108e-15	35	35	True	7.081561904742628e-16	True	6.830099852969421e-16	41	41	True	6.696778232168359e-16	True	9.16415959570155e-16
sub-063	equalIndifference	4	453	452	0.03418590482386023	0.0	1.0555809491150443	248219	17	17	True	3.9383200273345024e-16	True	7.108536359504236e-16	35	35	True	1.71296587079233e-15	True	7.102097102103903e-16	41	41	True	8.483280266848441e-16	True	1.829590733408669e-15
sub-064	equalRange	1	453	452	0.10639885545088494	0.0	1.0287620154867256	259614	17	17	True	7.198308138943806e-16	True	1.1219568626422263e-15	35	35	True	1.3534766631472025e-15	True	1.1676155713775354e-15	41	41	True	1.2330809233529927e-15	True	7.704012507692842e-16
