contrast	scope	strategy	region	n_subjects	d_raw	d_aligned	aligned_ratio	scale_attenuation	pearson_r	delta_mean_square	edge_enrichment	core_ratio	aggregation_attenuation
loss_demean	split_A	equal	core	54	0.9460669155980737	0.9387091645180551	0.9922228005665252	0.0077771994334747685	0.3109770450214447	5.400900863935193e-05			
loss_demean	split_A	equal	periphery	54	0.9633139567996987	0.9556827434583415	0.9920781659110292	0.007921834088970847	0.26249091582280093	0.00023028999665678746			
loss_demean	split_A	stabilized	common	54	0.9284744703967271	0.919821931797012	0.9906809084411141	0.009319091558885884	0.35180831292665166	4.288259130264309e-05	3.1771548417440036	0.9981584529114342	1.0955800943124316e-06
loss_demean	split_A	stabilized	core	54	0.9267646409389604	0.9185030646716273	0.9910855724286559	0.008914427571344086	0.3542681681904165	3.682861210447435e-05			
loss_demean	split_A	stabilized	periphery	54	0.9351536196673497	0.9231613606911233	0.9871761615161238	0.012823838483876249	0.3370341629778664	0.00011701020326244251			
loss_demean	split_B	ivw	common	54	0.9271312788036178	0.9196510562703518	0.9919318626128992	0.008068137387100771	0.3908431649083575	3.943583841486099e-05	2.9193161794085514	0.9991289613751608	0.0
loss_demean	split_B	ivw	core	54	0.9263237116494834	0.9196478632150238	0.9927931798025854	0.007206820197414587	0.3896736828987908	3.444434292797485e-05			
loss_demean	split_B	ivw	periphery	54	0.9305416011107234	0.9185967971757236	0.9871636002939126	0.012836399706087409	0.3939016824012585	0.0001005539275987335			
loss_demean	split_B	equal	common	54	0.949489829191349	0.9435982051607098	0.9937949582507303	0.006205041749269724	0.330272185494258	6.415176133780183e-05	4.260838803771555	0.9949783367797256	-0.024115840872700467
loss_demean	split_B	equal	core	54	0.9447218110380742	0.9389142817234667	0.9938526566797202	0.0061473433202797745	0.34260204887608003	5.14777254212594e-05			
loss_demean	split_B	equal	periphery	54	0.9636042673594513	0.9569609993254791	0.9931058129784163	0.006894187021583731	0.2887300997179623	0.00021933829000479944			
loss_demean	split_B	stabilized	common	54	0.9271301661614688	0.9196497007423681	0.9919315909544055	0.008068409045594471	0.3908460734242849	3.94356466887023e-05	2.919300115487075	0.9991294211076518	1.2000912646970008e-06
loss_demean	split_B	stabilized	core	54	0.9263230262083494	0.9196471301898129	0.9927931231010607	0.007206876898939285	0.3896752887210756	3.4444211958000424e-05			
loss_demean	split_B	stabilized	periphery	54	0.9305386909718474	0.9185924173897542	0.9871619807988675	0.012838019201132478	0.39391326860048353	0.00010055299194685192			
