record_type	contrast	confound	qc	smoothing	n_subjects	df	fdr_rejected_voxels	fdr_rejected_proportion	fdr_positive_voxels	fdr_negative_voxels	fdr_any_rejection	cell_a	cell_b	differing_axes	n_differing_axes	pearson_r	pearson_r_ci_lower	pearson_r_ci_upper	cosine_similarity	cosine_similarity_ci_lower	cosine_similarity_ci_upper	normalized_rms_difference	normalized_rms_difference_ci_lower	normalized_rms_difference_ci_upper	sign_agreement	fdr_jaccard	bootstrap_replicates	bootstrap_seed	notes
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q0/S0	C	1.0	0.8977213468786263	0.8637232253575797	0.9121208076760785	0.8980450400691845	0.8627704907635073	0.9117878748519282	0.44641885324692065	0.41746946687856146	0.5130357129966086	0.875142459161707	0.35135135135135137	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q1/S0	C:Q	2.0	0.8729264071654609	0.7541866118786641	0.9072520667717082	0.871789229382969	0.7539225190113149	0.9064531844072259	0.4991506689388635	0.430282290831295	0.6676501033887156	0.8553655095063225	0.2978723404255319	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q2/S0	C:Q	2.0	0.8513107650009875	0.7079326968255898	0.9011669750072154	0.850875081985397	0.7086664975061017	0.9007475110076194	0.5425525823465116	0.448050186688108	0.7325853686298323	0.8408844226559815	0.23333333333333334	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q0/S1	C:S	2.0	0.5625926572346697	0.5047969056042213	0.5592284221665541	0.5659102317733433	0.500382552074172	0.5685314145269114	0.8405838304660783	0.8444648418665632	0.8833820974250961	0.7092431122125943	0.001520398682321142	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q1/S1	C:Q:S	3.0	0.5532476684107518	0.45380983599989094	0.5570818068287328	0.5545310787413567	0.4550247597478637	0.5633941783845046	0.8459895407027406	0.847299376736954	0.9021930856096483	0.7046663289856908	0.0013735215566577643	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q2/S1	C:Q:S	3.0	0.5464433683673795	0.43342041307653495	0.554469861693819	0.5491947861310391	0.4341106124233451	0.562267514624803	0.8476983316831032	0.8464925680695995	0.9090574784251891	0.7017538305685703	0.001273074474856779	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q0/S2	C:S	2.0	0.4238001537588679	0.33611394427430535	0.4102885219449299	0.4290858117678621	0.33365138503543224	0.42463567948734215	0.9091148701083912	0.9138218174937428	0.9473095476304564	0.6508031983212431	0.000725835719182225	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q1/S2	C:Q:S	3.0	0.41988911496174425	0.3157203684005415	0.4085570697792499	0.4221700759745992	0.31407830879625104	0.4195220567927727	0.9115998333613021	0.915432112145408	0.9529658001309449	0.6480399428354348	0.0006634721710283819	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q0/S0	C2/Q2/S2	C:Q:S	3.0	0.41643851626257244	0.30274380021187375	0.40668082118420834	0.4209347227585243	0.3047097914576975	0.41924723628414184	0.9116356820998182	0.9148627546995408	0.9550769019907643	0.6466967564536261	0.0006056323811446452	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q2/S0	Q	1.0	0.970908819908366	0.8678460657273558	0.9989839462905202	0.9706504588631695	0.8662698530815781	0.9989983403529995	0.2441404958765997	0.04539436646328535	0.508581391123718	0.9258398306771106	0.5333333333333333	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
