subject	confound	smoothing	contrast	n_voxels	variance_min	variance_lt_1e_20_count	variance_lt_1e_30_count	variance_finite_count	variance_positive_count	variance_nonfinite_count	variance_nonpositive_count	variance_all_finite	variance_all_positive	sidecar_available	float64_temporal_mean_lt1_diagnostic_available	float64_temporal_mean_lt1_run_count_available	float64_temporal_mean_lt1_voxel_run_sum	float64_temporal_mean_lt1_min_per_run	float64_temporal_mean_lt1_max_per_run	float64_temporal_mean_lt1_runs_nonzero
sub-004	C2	S2	gain_demean	221116	6.0708357523253653e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-004	C2	S2	loss_demean	221116	6.4445430325577036e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C0	S0	gain_demean	221116	5.4800342929119802e-30	1	0	221116	221116	0	0	True	True	True	True	4	5	1	2	4
sub-005	C0	S0	loss_demean	221116	1.8602832680633048e-29	1	0	221116	221116	0	0	True	True	True	True	4	5	1	2	4
sub-005	C0	S1	gain_demean	221116	2.7826245059259236e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C0	S1	loss_demean	221116	1.1150946193083655e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C0	S2	gain_demean	221116	1.3429314549284754e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C0	S2	loss_demean	221116	5.314745067153126e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C1	S0	gain_demean	221116	5.4205335900597979e-30	1	0	221116	221116	0	0	True	True	True	True	4	5	1	2	4
sub-005	C1	S0	loss_demean	221116	1.8648006270258312e-29	1	0	221116	221116	0	0	True	True	True	True	4	5	1	2	4
sub-005	C1	S1	gain_demean	221116	2.7633652734948555e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C1	S1	loss_demean	221116	1.0561038834566716e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C1	S2	gain_demean	221116	1.4071364375922712e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C1	S2	loss_demean	221116	5.369946393329883e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C2	S0	gain_demean	221116	5.4581879655008181e-31	1	1	221116	221116	0	0	True	True	True	True	4	5	1	2	4
sub-005	C2	S0	loss_demean	221116	1.9369558933188528e-30	1	0	221116	221116	0	0	True	True	True	True	4	5	1	2	4
sub-005	C2	S1	gain_demean	221116	2.4057540031208191e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C2	S1	loss_demean	221116	9.2905438577872701e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C2	S2	gain_demean	221116	1.1241605761824758e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-005	C2	S2	loss_demean	221116	4.3523718886717688e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-006	C0	S0	gain_demean	221116	5.4366082402084226e-31	1533	1533	221116	221116	0	0	True	True	True	True	4	1672	0	1672	1
sub-006	C0	S0	loss_demean	221116	4.1951136431693862e-31	1533	1533	221116	221116	0	0	True	True	True	True	4	1672	0	1672	1
sub-006	C0	S1	gain_demean	221116	9.6493195087532513e-06	0	0	221116	221116	0	0	True	True	True	True	4	52	0	52	1
sub-006	C0	S1	loss_demean	221116	9.6854519142652862e-06	0	0	221116	221116	0	0	True	True	True	True	4	52	0	52	1
sub-006	C0	S2	gain_demean	221116	7.1766480687074363e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-006	C0	S2	loss_demean	221116	7.5159532570978627e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-006	C1	S0	gain_demean	221116	1.8492882769509111e-30	1533	0	221116	221116	0	0	True	True	True	True	4	1672	0	1672	1
sub-006	C1	S0	loss_demean	221116	1.436529328343288e-30	1533	0	221116	221116	0	0	True	True	True	True	4	1672	0	1672	1
sub-006	C1	S1	gain_demean	221116	9.1608035290846601e-06	0	0	221116	221116	0	0	True	True	True	True	4	52	0	52	1
sub-006	C1	S1	loss_demean	221116	9.4069819169817492e-06	0	0	221116	221116	0	0	True	True	True	True	4	52	0	52	1
sub-006	C1	S2	gain_demean	221116	6.9736338446091395e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-006	C1	S2	loss_demean	221116	7.2537550295237452e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-006	C2	S0	gain_demean	221116	2.9374007505720548e-31	1533	1343	221116	221116	0	0	True	True	True	True	4	1672	0	1672	1
sub-006	C2	S0	loss_demean	221116	2.289441228028741e-31	1533	1343	221116	221116	0	0	True	True	True	True	4	1672	0	1672	1
sub-006	C2	S1	gain_demean	221116	9.330753528047353e-06	0	0	221116	221116	0	0	True	True	True	True	4	52	0	52	1
sub-006	C2	S1	loss_demean	221116	9.2299369498505257e-06	0	0	221116	221116	0	0	True	True	True	True	4	52	0	52	1
sub-006	C2	S2	gain_demean	221116	6.2364629229705315e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-006	C2	S2	loss_demean	221116	6.4444006966368761e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-008	C0	S0	gain_demean	221116	0.0001375874417135492	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C0	S0	loss_demean	221116	0.00012486509513109922	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C0	S1	gain_demean	221116	1.6874695575097576e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C0	S1	loss_demean	221116	1.542640347906854e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C0	S2	gain_demean	221116	9.0648372861323878e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C0	S2	loss_demean	221116	8.3071236076648347e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C1	S0	gain_demean	221116	0.00012132300616940483	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C1	S0	loss_demean	221116	0.0001149335948866792	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C1	S1	gain_demean	221116	1.5652487491024658e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C1	S1	loss_demean	221116	1.5074947441462427e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C1	S2	gain_demean	221116	8.517461537849158e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C1	S2	loss_demean	221116	8.3248423834447749e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C2	S0	gain_demean	221116	0.00011204785550944507	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C2	S0	loss_demean	221116	0.00010533988097449765	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C2	S1	gain_demean	221116	1.4928035852790345e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C2	S1	loss_demean	221116	1.4072446901991498e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C2	S2	gain_demean	221116	7.1287040555034764e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-008	C2	S2	loss_demean	221116	6.7593909989227541e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C0	S0	gain_demean	221116	1.6453050193376839e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C0	S0	loss_demean	221116	6.9024114054627717e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C0	S1	gain_demean	221116	2.8256897621758981e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C0	S1	loss_demean	221116	1.1931537301279604e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C0	S2	gain_demean	221116	1.3957751434645616e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C0	S2	loss_demean	221116	5.8750074458657764e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C1	S0	gain_demean	221116	1.64852972375229e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C1	S0	loss_demean	221116	6.8376895796973258e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C1	S1	gain_demean	221116	2.9665366128028836e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C1	S1	loss_demean	221116	1.248154239874566e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C1	S2	gain_demean	221116	1.4216527688404312e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C1	S2	loss_demean	221116	5.9151111599931028e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C2	S0	gain_demean	221116	1.5778561646584421e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C2	S0	loss_demean	221116	6.4755418861750513e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C2	S1	gain_demean	221116	2.7754160782933468e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C2	S1	loss_demean	221116	1.1525783520482946e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C2	S2	gain_demean	221116	1.3579996220869361e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-009	C2	S2	loss_demean	221116	5.5750606406945735e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C0	S0	gain_demean	221116	7.9253506555687636e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C0	S0	loss_demean	221116	8.4627667092718184e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C0	S1	gain_demean	221116	8.2191327237524092e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C0	S1	loss_demean	221116	8.9199111243942752e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C0	S2	gain_demean	221116	4.5315823626879137e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C0	S2	loss_demean	221116	4.9844943532662001e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C1	S0	gain_demean	221116	8.1540471001062542e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C1	S0	loss_demean	221116	8.3769977209158242e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C1	S1	gain_demean	221116	8.8624301497475244e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C1	S1	loss_demean	221116	9.2301297627273016e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C1	S2	gain_demean	221116	4.5694587242905982e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C1	S2	loss_demean	221116	4.9022983148461208e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C2	S0	gain_demean	221116	8.0152247392106801e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C2	S0	loss_demean	221116	8.097561658360064e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C2	S1	gain_demean	221116	8.3301247286726721e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C2	S1	loss_demean	221116	8.5953042798792012e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C2	S2	gain_demean	221116	4.0347349568037316e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-010	C2	S2	loss_demean	221116	4.2210990613966715e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C0	S0	gain_demean	221116	1.9673290807986632e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C0	S0	loss_demean	221116	9.2907626822125167e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C0	S1	gain_demean	221116	3.0483201953757089e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C0	S1	loss_demean	221116	1.4218469004845247e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C0	S2	gain_demean	221116	1.7185961951327045e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C0	S2	loss_demean	221116	8.1637344919727184e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C1	S0	gain_demean	221116	1.8365079085924663e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C1	S0	loss_demean	221116	8.4393905126489699e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C1	S1	gain_demean	221116	2.9619586712215096e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C1	S1	loss_demean	221116	1.340717699349625e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C1	S2	gain_demean	221116	1.7098249145419686e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C1	S2	loss_demean	221116	7.8252032835735008e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C2	S0	gain_demean	221116	1.7496297004981898e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C2	S0	loss_demean	221116	7.9419653047807515e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C2	S1	gain_demean	221116	2.9341938443394611e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C2	S1	loss_demean	221116	1.3161416063667275e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C2	S2	gain_demean	221116	1.6525789305887884e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-011	C2	S2	loss_demean	221116	7.4331064752186649e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-013	C0	S0	gain_demean	221116	1.0522079155608706e-31	3	3	221116	221116	0	0	True	True	True	True	4	8	0	3	3
sub-013	C0	S0	loss_demean	221116	3.6684681939162447e-31	3	3	221116	221116	0	0	True	True	True	True	4	8	0	3	3
sub-013	C0	S1	gain_demean	221116	3.0653238809463801e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C0	S1	loss_demean	221116	1.247143154614605e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C0	S2	gain_demean	221116	1.8491961100153276e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C0	S2	loss_demean	221116	7.8077064245007932e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C1	S0	gain_demean	221116	2.7772111042696802e-30	3	0	221116	221116	0	0	True	True	True	True	4	8	0	3	3
sub-013	C1	S0	loss_demean	221116	9.2482742155463576e-30	3	0	221116	221116	0	0	True	True	True	True	4	8	0	3	3
sub-013	C1	S1	gain_demean	221116	2.982382056870847e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C1	S1	loss_demean	221116	1.2190688721602783e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C1	S2	gain_demean	221116	1.5999796687538037e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C1	S2	loss_demean	221116	6.7267496888234746e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C2	S0	gain_demean	221116	3.6385838361341598e-30	3	0	221116	221116	0	0	True	True	True	True	4	8	0	3	3
sub-013	C2	S0	loss_demean	221116	1.2110621391550049e-29	3	0	221116	221116	0	0	True	True	True	True	4	8	0	3	3
sub-013	C2	S1	gain_demean	221116	2.837824013113277e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C2	S1	loss_demean	221116	1.1702227311616298e-05	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C2	S2	gain_demean	221116	1.4402727401829907e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-013	C2	S2	loss_demean	221116	5.987486474623438e-06	0	0	221116	221116	0	0	True	True	True	True	4	0	0	0	0
sub-014	C0	S0	gain_demean	221116	5.9283036534907296e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C0	S0	loss_demean	221116	5.4792224545963109e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C0	S1	gain_demean	221116	8.0490526670473628e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C0	S1	loss_demean	221116	7.4578733801899944e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C0	S2	gain_demean	221116	4.2524188756942749e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C0	S2	loss_demean	221116	3.9253259274119046e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C1	S0	gain_demean	221116	5.7390225265407935e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C1	S0	loss_demean	221116	5.3157029469730332e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C1	S1	gain_demean	221116	7.9115707194432616e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C1	S1	loss_demean	221116	7.3235237323387992e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C1	S2	gain_demean	221116	3.8989828681224026e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C1	S2	loss_demean	221116	3.6266255847294815e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C2	S0	gain_demean	221116	5.6860990298446268e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C2	S0	loss_demean	221116	5.1864906708942726e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C2	S1	gain_demean	221116	7.9774654295761138e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C2	S1	loss_demean	221116	7.2792772698448971e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C2	S2	gain_demean	221116	3.8670264075335581e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-014	C2	S2	loss_demean	221116	3.5439204566500848e-06	0	0	221116	221116	0	0	True	True	True	False					
sub-015	C0	S0	gain_demean	221116	3.3277588954661041e-05	0	0	221116	221116	0	0	True	True	True	False					
sub-015	C0	S0	loss_demean	221116	0.00012655323371291161	0	0	221116	221116	0	0	True	True	True	False					
